NU_ANO_CENSO;NO_REGIAO;CO_UF;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_TX_DIST_IDADE_SERIE_TOTAL;MED_TX_DIST_IDADE_SERIE_TOTAL
2015;Norte;11;RO;1100130;Machadinho D'Oeste;Rural;Total;34.7;36.4
2015;Norte;11;RO;1100130;Machadinho D'Oeste;Rural;Estadual;--;36.4
2015;Norte;11;RO;1100130;Machadinho D'Oeste;Rural;Municipal;34.7;--
2015;Norte;11;RO;1100130;Machadinho D'Oeste;Rural;Pública;34.7;36.4
2015;Norte;11;RO;1100148;Nova Brasilândia D'Oeste;Total;Total;21.1;41.5
2015;Norte;11;RO;1100148;Nova Brasilândia D'Oeste;Total;Estadual;19.1;41.5
2015;Norte;11;RO;1100148;Nova Brasilândia D'Oeste;Total;Municipal;22.7;--
2015;Norte;11;RO;1100148;Nova Brasilândia D'Oeste;Total;Pública;21.1;41.5
2015;Norte;11;RO;1100148;Nova Brasilândia D'Oeste;Urbana;Total;20.8;41.5
2015;Norte;11;RO;1100148;Nova Brasilândia D'Oeste;Urbana;Estadual;19;41.5
2015;Norte;11;RO;1100148;Nova Brasilândia D'Oeste;Urbana;Municipal;23.4;--
2015;Norte;11;RO;1100148;Nova Brasilândia D'Oeste;Urbana;Pública;20.8;41.5
2015;Norte;11;RO;1100148;Nova Brasilândia D'Oeste;Rural;Total;21.8;--
2015;Norte;11;RO;1100148;Nova Brasilândia D'Oeste;Rural;Estadual;21.1;--
2015;Norte;11;RO;1100148;Nova Brasilândia D'Oeste;Rural;Municipal;21.9;--
2015;Norte;11;RO;1100148;Nova Brasilândia D'Oeste;Rural;Pública;21.8;--
2015;Norte;11;RO;1100155;Ouro Preto do Oeste;Total;Total;21.9;30
2015;Norte;11;RO;1100155;Ouro Preto do Oeste;Total;Estadual;29.8;30.8
2015;Norte;11;RO;1100155;Ouro Preto do Oeste;Total;Municipal;16.2;--
2015;Norte;11;RO;1100155;Ouro Preto do Oeste;Total;Privada;6.3;2.9
2015;Norte;11;RO;1100155;Ouro Preto do Oeste;Total;Pública;22.7;30.8
2015;Norte;11;RO;1100155;Ouro Preto do Oeste;Urbana;Total;21.2;30
2015;Norte;11;RO;1100155;Ouro Preto do Oeste;Urbana;Estadual;29.8;30.8
