UF_CODE;CO_MUNICIPIO;TXT_FUN_TX_PROMOCAO_TOTAL;TXT_FUN_TX_REPETENCIA_TOTAL;TXT_FUN_TX_EVASAO_TOTAL;TDI_FUN_TX_DIST_IDADE_SERIE_TOTAL;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO1;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO2;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO3;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO4;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO5;IRD_PERC_REG_DOC_BAIXA;IRD_PERC_REG_DOC_ALTA;DSU_FUN_PERC_DOC_SUPERIOR_TOTAL;ICG_PERC_COMPLX_ESCOLA_NIVEL_1;ICG_PERC_COMPLX_ESCOLA_NIVEL_2;ICG_PERC_COMPLX_ESCOLA_NIVEL_3;ICG_PERC_COMPLX_ESCOLA_NIVEL_4;ICG_PERC_COMPLX_ESCOLA_NIVEL_5;ICG_PERC_COMPLX_ESCOLA_NIVEL_6;TXR_FUN_TX_APROVACAO_TOTAL;TXR_FUN_TX_REPROVACAO_TOTAL;TXR_FUN_TX_ABANDONO_TOTAL;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_1;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_2;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_3;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_4;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_5;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_6;ANO;PANDEMIA_COVID;PIB_2017;PERCENTUAL_FAMILIAS_PBF_2017
26;2610608;80.6;15.0;1.4;23.8;45.1;0.0;19.0;2.4;33.5;7.0;4.6;68.4;30.4;28.3;8.7;15.2;17.4;0.0;86.6;11.1;2.3;34.6;19.0;18.5;19.5;4.7;3.7;2017;0;758366;0.1604
26;2610707;87.5;8.3;2.8;19.1;41.5;0.8;14.6;2.8;40.3;2.6;10.9;66.6;11.4;35.7;24.9;14.6;3.8;9.6;93.9;4.7;1.4;20.2;13.8;27.1;27.9;6.9;4.1;2017;0;4018623;0.09561
26;2610806;85.2;8.6;3.1;25.9;28.0;0.0;29.1;1.0;41.9;3.4;10.4;62.7;31.0;34.5;3.4;6.9;13.8;10.4;92.7;6.8;0.5;32.5;14.9;13.7;22.9;10.9;5.1;2017;0;243944;0.2024
26;2610905;82.2;13.1;3.2;27.1;25.5;0.1;26.3;1.5;46.6;11.5;22.1;56.5;24.1;25.0;5.6;15.7;15.7;13.9;86.3;10.1;3.6;28.4;10.8;24.3;27.2;7.0;2.3;2017;0;691904;0.183
26;2611002;88.7;7.9;2.5;18.0;39.8;0.5;22.4;1.2;36.1;7.5;13.2;63.2;14.5;56.4;9.1;7.3;12.7;0.0;93.3;5.7;1.0;30.2;21.3;23.3;20.6;3.3;1.3;2017;0;1078866;0.13786
26;2611101;89.9;6.3;2.2;15.7;45.7;0.1;21.1;1.3;31.8;20.1;4.6;73.4;27.3;35.1;12.9;8.7;11.7;4.3;93.4;6.1;0.5;11.9;9.9;38.6;27.7;8.8;3.1;2017;0;5988818;0.0868
26;2611200;81.3;13.4;3.3;26.4;36.7;0.0;17.9;3.3;42.1;18.8;24.9;57.1;35.3;41.2;11.8;5.9;5.8;0.0;91.3;6.3;2.4;45.8;18.1;19.3;12.0;3.6;1.2;2017;0;85549;0.24734
26;2611309;77.1;17.9;3.2;33.2;34.2;0.0;21.4;3.2;41.2;17.8;17.8;64.2;58.7;13.0;8.7;10.9;8.7;0.0;77.5;16.3;6.2;31.2;16.8;23.5;19.6;6.7;2.2;2017;0;363983;0.20523
26;2611408;81.5;13.8;2.5;27.4;40.4;0.0;29.5;1.8;28.3;22.2;11.1;71.6;38.9;44.4;5.6;5.6;0.0;5.5;83.5;13.9;2.6;35.8;15.2;20.7;18.5;6.5;3.3;2017;0;168864;0.14934
26;2611507;80.0;13.9;4.4;26.9;50.1;0.0;19.2;1.5;29.2;20.7;3.5;71.8;40.0;23.3;6.7;20.0;10.0;0.0;87.8;8.6;3.6;42.1;19.7;18.5;10.8;5.1;3.8;2017;0;175507;0.1523
26;2611533;89.8;8.6;1.0;13.2;37.8;1.6;38.7;3.5;18.4;10.0;0.0;80.4;50.0;0.0;10.0;30.0;0.0;10.0;88.2;10.4;1.4;25.0;19.0;15.0;31.0;5.0;5.0;2017;0;49179;0.18024
26;2611606;88.1;7.5;3.0;20.0;53.5;1.3;16.9;4.4;23.9;1.7;18.7;80.8;13.3;38.9;17.4;13.8;14.4;2.2;92.9;6.6;0.5;19.9;11.5;32.5;26.7;5.9;3.5;2017;0;51839333;0.05999
26;2611705;81.9;12.8;3.3;19.1;45.8;0.1;30.4;1.3;22.4;3.4;13.9;78.8;20.7;27.6;13.8;6.9;24.1;6.9;86.9;11.4;1.7;43.9;17.9;15.5;16.7;5.4;0.6;2017;0;166293;0.20062
26;2611804;81.3;12.9;3.3;24.7;17.8;0.5;16.3;1.9;63.5;35.4;4.2;44.0;27.5;21.6;5.9;21.6;19.6;3.8;86.5;8.4;5.1;31.6;21.2;20.1;24.0;2.5;0.6;2017;0;387435;0.13626
26;2611903;79.7;14.2;3.1;26.7;39.8;0.4;18.6;0.2;41.0;14.8;7.4;60.9;37.0;29.6;7.4;11.1;7.4;7.5;84.4;12.7;2.9;23.5;31.4;17.0;15.7;8.5;3.9;2017;0;259964;0.14303
