CO_MUNICIPIO;PIB_2013;PIB_2014;PIB_2015;PIB_2016;PIB_2017;PIB_2018;PIB_2019;PIB_2020;PIB_2021
2309201;96906;121364;123904;117841;141025;134092;145556;157789;163381
2309300;197935;235284;247084;261717;272470;275667;299307;310869;336930
2309409;136549;170447;174654;176828;212351;204976;240486;256639;283185
2309458;104261;136287;140712;150231;172265;180596;199013;231683;284836
2309508;144142;171995;170348;191487;181332;175539;184955;199602;218899
2309607;778970;929253;940023;1001708;1064432;1139915;1147751;1183738;1360520
2309706;802513;972488;939811;949993;1035916;1162125;1024547;1099201;1235158
2309805;91982;114451;99316;124959;165597;109295;126746;136416;148366
2309904;32712;37116;40051;43465;47602;48002;51024;55348;59940
2310001;52839;63154;62302;63795;76962;78774;89570;93529;98773
2310100;58579;89085;82823;83520;100907;93836;93879;118148;115124
2310209;370570;425149;405883;415286;475887;488941;505684;518432;555931
2310258;265461;329698;355526;411002;357111;398908;439699;488484;535129
2310308;149030;175492;198473;206119;204761;217507;240079;263486;288689
2310407;72581;66194;74645;78644;95832;96409;107547;110773;110908
2310506;204011;234580;249474;266683;281948;300170;332992;378258;389914
2310605;65997;83520;85837;89183;107363;213846;112795;116645;122162
2310704;350736;314391;335342;367405;405039;412142;494670;486963;484760
2310803;83447;99647;153921;212943;315992;313125;371999;416485;560571
2310852;135303;168287;184212;208294;221102;242222;245401;252609;274852
2310902;80284;97901;105633;116483;122367;125334;135196;151868;162092
2310951;42663;45775;44278;49087;57106;59052;66430;79596;84230
2311009;54130;62989;66631;69879;77866;78795;89198;98317;109402
2311108;81974;96956;106836;124356;136554;152389;157288;168096;186375
2311207;66036;87152;80740;75663;94830;90208;85166;107591;110570
2311231;32100;39980;43412;49556;53937;57477;64353;87046;96816
2311264;101601;139967;127407;141227;166934;151808;162593;171901;184720
2311306;733060;821399;894136;971818;937401;1043640;1005884;1051941;1109869
2311355;90249;108577;107327;120304;127331;121805;142566;169836;198820
2311405;603448;712913;746318;871205;1037971;1072295;1229512;1185654;1402461
2311504;490581;496721;387109;321960;382897;426547;400970;459555;637015
2311603;202153;238894;268426;243968;335447;458455;342557;386574;409867
2311702;120055;133607;140349;146836;190648;193940;176270;179901;190710
2311801;777481;886849;904223;916892;1129464;1107206;1100469;1061512;1158523
2311900;71996;85658;88688;106260;129449;129631;128686;151106;169856
2311959;92767;116297;99370;106349;118073;110770;127158;147599;159284
2312007;150334;177993;184460;194406;213896;221785;229989;259124;280072
2312106;93678;120441;108196;106561;132741;123888;134270;150513;159277
2312205;298641;352190;373312;397700;444169;446749;502513;533368;633710
2312304;347902;380826;379048;429676;475176;510877;543693;598245;627180
2312403;822595;1444778;1853784;2361426;3083998;4219743;3759946;4192888;8633637
2312502;72701;74634;82085;96517;94531;91304;94531;103053;107898
2312601;74820;87265;90846;94690;96095;105835;110167;117335;133109
2312700;214365;244764;253455;290674;315027;308065;315172;316498;352272
2312809;33356;39502;40665;42738;49705;53775;52134;59499;62766
2312908;3419143;3830449;3974674;4143824;4456661;4759755;4585451;4617239;5395130
2313005;102405;118262;135730;163669;183440;195287;219003;237756;303284
2313104;232017;267727;267022;282813;330487;320805;368226;376613;450593
2313203;126912;156018;164216;193640;201168;211770;239874;261258;282247
2313252;48193;60885;55215;53357;71509;62074;68769;89434;85682
2313302;390250;493896;497673;515156;595586;607574;662160;686887;711836
2313351;73464;88000;99043;109299;110241;108571;132655;134586;136988
2313401;681314;844070;867501;1047061;1248162;1308985;1465463;1621108;1732690
2313500;511212;601091;578552;644612;659097;837504;784583;819135;1115144
2313559;67906;84225;90784;95533;101257;106299;115947;122644;138079
2313609;277485;305766;336480;399742;509131;581648;580795;627784;642046
2313708;36236;41272;42930;46383;49084;53744;56713;64508;69441
2313757;88297;101983;109338;122765;138782;155332;158100;160229;172797
2313807;229445;267728;284403;382943;453854;360013;295526;273138;299474
2313906;66012;94155;116878;112883;148516;172187;177338;193948;298207
2313955;132942;199368;151347;226886;253742;269539;335906;359070;375819
2314003;221877;276656;281080;331370;347549;374829;397882;435622;468101
2314102;291079;338870;331088;377603;413429;439427;482265;545842;603321
2400109;98156;105627;112644;109315;119101;124825;129939;132249;141994
2400208;818416;830663;853302;780970;894304;1134910;1278677;1169390;1467571
2400307;65569;67542;79301;84824;95929;95641;101916;138830;138265
2400406;19942;21627;24111;24593;25490;28606;30474;33678;34553
2400505;92574;100071;112704;119003;125198;140266;153813;156960;150790
2400604;29979;31135;34276;34031;36038;39386;42765;47333;50062
2400703;453270;641212;446954;409747;413531;474550;481461;536154;616327
2400802;100524;108485;109781;120549;125964;142729;165085;180235;180166
2400901;40390;44291;45917;49822;52867;59047;60365;62319;65526
2401008;541188;527793;418636;419171;471344;514502;540241;546245;709591
2401107;878478;819133;668048;735957;562038;706069;761984;717176;935974
2401206;209709;247013;275387;293291;362317;448432;378419;421517;386634
2401305;81174;104138;74529;78044;83514;86023;100029;102741;105356
2401404;116256;133235;143906;131130;134750;181360;222025;282701;325032
2401453;579020;420297;588920;506333;507035;575271;642508;720012;746402
2401503;27692;29600;30533;32941;35278;36031;40372;43107;45865
2401602;34670;37280;39951;40574;45790;48524;53810;53930;88430
2401651;42023;82117;38695;41438;221682;300405;232146;262311;286575
2401701;61214;63745;70983;73904;80674;86170;92606;98835;109338
2401800;116289;128575;123748;136235;151333;129109;142007;136309;139466
2401859;43581;42979;52517;61499;69413;81841;86122;91717;112178
2401909;27832;29761;31163;33435;33446;39826;43757;45998;60457
2402006;883798;932199;981991;1060507;1145233;1171343;1265128;1292651;1394849
2402105;57759;63602;68791;70996;77545;86439;96560;98340;106968
2402204;358161;365938;418688;408706;478722;550759;578376;597286;605678
2402303;343642;296263;271748;242807;304021;293511;314828;321061;373661
2402402;64566;70780;76561;77561;80776;95111;105222;110989;118373
2402501;192098;207508;150297;100150;119906;169861;181406;161004;210950
2402600;663989;701637;738018;784614;808680;864705;903775;956379;1002205
2402709;82163;83105;100412;107434;144438;125193;123552;124224;140412
2402808;33655;35074;41596;41142;42805;44685;46723;49987;52507
2402907;30935;33280;35880;37256;40150;43640;42960;44554;48167
2403004;73886;444758;88400;88642;96955;103647;111036;113748;123142
2403103;586499;570962;622689;630185;721961;699725;745132;752944;804231
2403202;42511;45955;48130;50435;53849;62301;69507;72244;78557
2403251;4136921;4383204;4627678;5210838;5023625;5310681;5615596;5918025;6845403
2403301;31374;34372;36805;40780;42127;46847;53557;54971;62293
2403400;46063;45692;62697;64110;64753;68443;70092;70872;81977
2403509;52162;55387;62468;66520;72127;81429;87619;90209;97586
