CO_MUNICIPIO;PIB_2013;PIB_2014;PIB_2015;PIB_2016;PIB_2017;PIB_2018;PIB_2019;PIB_2020;PIB_2021;PERCENTUAL_FAMILIAS_PBF_2013;PERCENTUAL_FAMILIAS_PBF_2014;PERCENTUAL_FAMILIAS_PBF_2015;PERCENTUAL_FAMILIAS_PBF_2016;PERCENTUAL_FAMILIAS_PBF_2017;PERCENTUAL_FAMILIAS_PBF_2018;PERCENTUAL_FAMILIAS_PBF_2019;PERCENTUAL_FAMILIAS_PBF_2020;PERCENTUAL_FAMILIAS_PBF_2021
3109204;93289;101106;107379;112780;115279;122970;127065;132077;180725;0.09043;0.08511;0.08641;0.08573;0.08467;0.08288;0.07805;0.0851;0.0906
3109253;24887;29453;30303;33210;46260;34208;36166;42119;47558;0.12179;0.12306;0.1253;0.12995;0.13218;0.12494;0.11627;0.12629;0.12726
3109303;533994;561144;601734;668593;699203;807203;774309;951428;1164015;0.10626;0.11395;0.10575;0.109;0.11228;0.10591;0.09231;0.09455;0.09083
3109402;303092;317824;307736;432266;419189;435220;448007;591082;736130;0.11997;0.12518;0.11963;0.11458;0.11918;0.12491;0.12051;0.1282;0.12532
3109451;163729;175011;203180;186197;181397;304660;299820;388585;477388;0.09153;0.09299;0.0978;0.0952;0.09481;0.09191;0.07886;0.08414;0.08683
3109501;146565;180331;211117;229026;230253;193575;197753;256763;290843;0.05644;0.05196;0.05301;0.05372;0.04836;0.0449;0.04227;0.04448;0.04654
3109600;41332;41486;36437;37448;38436;38584;46799;49068;51864;0.03964;0.04078;0.04219;0.04198;0.05391;0.05171;0.04441;0.04483;0.0433
3109709;189671;212881;228387;330939;232494;452772;373496;390133;537009;0.03615;0.03384;0.03268;0.02946;0.03126;0.02805;0.02312;0.0266;0.02722
3109808;59473;58629;66791;68021;74794;72891;80881;103311;269619;0.03615;0.03856;0.03758;0.03812;0.05834;0.04781;0.03529;0.03659;0.03456
3109907;217103;216780;198473;219119;252736;254194;274465;269237;315264;0.05312;0.04943;0.04763;0.0443;0.04588;0.04611;0.0431;0.0503;0.05409
3110004;530175;594784;569627;614422;577936;596941;799826;907313;1074938;0.04805;0.04136;0.042;0.04135;0.04083;0.03707;0.03401;0.03727;0.03675
