NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;ED_INF_MEDIA_TOTAL_ALUNOS_SALA;FUN_MEDIA_TOTAL_ALUNOS_SALA;MED_MEDIA_TOTAL_ALUNOS_SALA
2018;Norte;RO;1100106;Guajará-Mirim;Rural;Total;4.7;4.2;4.3
2018;Norte;RO;1100106;Guajará-Mirim;Total;Federal;;;10.4
2018;Norte;RO;1100106;Guajará-Mirim;Urbana;Federal;;;10.4
2018;Norte;RO;1100106;Guajará-Mirim;Total;Estadual;;4.2;5.4
2018;Norte;RO;1100106;Guajará-Mirim;Urbana;Estadual;;4.2;5.4
2018;Norte;RO;1100106;Guajará-Mirim;Rural;Estadual;;4.2;4.3
2018;Norte;RO;1100106;Guajará-Mirim;Total;Municipal;4.1;4;
2018;Norte;RO;1100106;Guajará-Mirim;Urbana;Municipal;4;4;
2018;Norte;RO;1100106;Guajará-Mirim;Rural;Municipal;4.7;4;
2018;Norte;RO;1100106;Guajará-Mirim;Total;Privada;5.1;4.2;5.3
2018;Norte;RO;1100106;Guajará-Mirim;Urbana;Privada;5.1;4.2;5.3
2018;Norte;RO;1100106;Guajará-Mirim;Total;Pública;4.1;4.1;6.5
2018;Norte;RO;1100106;Guajará-Mirim;Urbana;Pública;4;4.1;6.5
2018;Norte;RO;1100106;Guajará-Mirim;Rural;Pública;4.7;4.2;4.3
2018;Norte;RO;1100114;Jaru;Total;Total;4.9;4.3;5
2018;Norte;RO;1100114;Jaru;Urbana;Total;4.9;4.3;4.9
2018;Norte;RO;1100114;Jaru;Rural;Total;5;4.2;5.4
2018;Norte;RO;1100114;Jaru;Total;Federal;;;5.3
2018;Norte;RO;1100114;Jaru;Urbana;Federal;;;5.3
2018;Norte;RO;1100114;Jaru;Total;Estadual;;4.3;4.8
2018;Norte;RO;1100114;Jaru;Urbana;Estadual;;4.3;4.8
2018;Norte;RO;1100114;Jaru;Rural;Estadual;;4.2;4.5
2018;Norte;RO;1100114;Jaru;Total;Municipal;5.1;4.3;
2018;Norte;RO;1100114;Jaru;Urbana;Municipal;5.1;4.3;
2018;Norte;RO;1100114;Jaru;Rural;Municipal;5;4.3;
2018;Norte;RO;1100114;Jaru;Total;Privada;4.2;4.4;8.5
2018;Norte;RO;1100114;Jaru;Urbana;Privada;4.2;4.4;5
2018;Norte;RO;1100114;Jaru;Rural;Privada;;;10.5
