NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;1_CAT_FUN;1_CAT_MED;2_CAT_FUN;2_CAT_MED;3_CAT_FUN;3_CAT_MED
2021;Sudeste;SP;3501103;Alto Alegre;Total;Total;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Total;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Total;Estadual;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Estadual;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Total;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3501103;Alto Alegre;Total;Pública;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Pública;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Total;Total;100,0;95,0;0,0;1,5;0,0;3,5
2021;Sudeste;SP;3501152;Alumínio;Urbana;Total;100,0;95,0;0,0;1,5;0,0;3,5
2021;Sudeste;SP;3501152;Alumínio;Rural;Total;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3501152;Alumínio;Total;Estadual;--;93,2;--;2,0;--;4,8
2021;Sudeste;SP;3501152;Alumínio;Urbana;Estadual;--;93,2;--;2,0;--;4,8
2021;Sudeste;SP;3501152;Alumínio;Total;Municipal;99,9;--;0,0;--;0,1;--
2021;Sudeste;SP;3501152;Alumínio;Urbana;Municipal;99,9;--;0,0;--;0,1;--
2021;Sudeste;SP;3501152;Alumínio;Rural;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3501152;Alumínio;Total;Privada;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Urbana;Privada;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Total;Pública;99,9;93,2;0,0;2,0;0,1;4,8
2021;Sudeste;SP;3501152;Alumínio;Urbana;Pública;99,9;93,2;0,0;2,0;0,1;4,8
2021;Sudeste;SP;3501152;Alumínio;Rural;Pública;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3501202;Álvares Florence;Total;Total;100,0;96,5;0,0;0,0;0,0;3,5
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Total;100,0;96,5;0,0;0,0;0,0;3,5
2021;Sudeste;SP;3501202;Álvares Florence;Total;Estadual;100,0;96,5;0,0;0,0;0,0;3,5
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Estadual;100,0;96,5;0,0;0,0;0,0;3,5
2021;Sudeste;SP;3501202;Álvares Florence;Total;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3501202;Álvares Florence;Total;Pública;100,0;96,5;0,0;0,0;0,0;3,5
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Pública;100,0;96,5;0,0;0,0;0,0;3,5
2021;Sudeste;SP;3501301;Álvares Machado;Total;Total;97,0;95,4;3,0;3,3;0,0;1,3
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Total;97,0;95,4;3,0;3,3;0,0;1,3
2021;Sudeste;SP;3501301;Álvares Machado;Total;Estadual;--;94,0;--;4,3;--;1,7
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Estadual;--;94,0;--;4,3;--;1,7
2021;Sudeste;SP;3501301;Álvares Machado;Total;Municipal;96,1;--;3,9;--;0,0;--
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Municipal;96,1;--;3,9;--;0,0;--
2021;Sudeste;SP;3501301;Álvares Machado;Total;Privada;99,7;100,0;0,3;0,0;0,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Privada;99,7;100,0;0,3;0,0;0,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Total;Pública;96,1;94,0;3,9;4,3;0,0;1,7
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Pública;96,1;94,0;3,9;4,3;0,0;1,7
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Total;99,1;99,0;0,9;0,0;0,0;1,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Total;99,1;99,0;0,9;0,0;0,0;1,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Estadual;100,0;99,0;0,0;0,0;0,0;1,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Estadual;100,0;99,0;0,0;0,0;0,0;1,0
