NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_TX_DIST_IDADE_SERIE_TOTAL;MED_TX_DIST_IDADE_SERIE_TOTAL
2021;Norte;RO;1100155;Ouro Preto do Oeste;Urbana;Pública;14.7;24.9
2021;Norte;RO;1100155;Ouro Preto do Oeste;Rural;Pública;9.3;--
2021;Norte;RO;1100189;Pimenta Bueno;Total;Total;9.1;23.5
2021;Norte;RO;1100189;Pimenta Bueno;Urbana;Total;7.9;25
2021;Norte;RO;1100189;Pimenta Bueno;Rural;Total;21.2;14.5
2021;Norte;RO;1100189;Pimenta Bueno;Total;Estadual;13.4;23.8
2021;Norte;RO;1100189;Pimenta Bueno;Urbana;Estadual;13.4;25.3
2021;Norte;RO;1100189;Pimenta Bueno;Rural;Estadual;--;14.5
2021;Norte;RO;1100189;Pimenta Bueno;Total;Municipal;6.2;--
2021;Norte;RO;1100189;Pimenta Bueno;Urbana;Municipal;3.3;--
2021;Norte;RO;1100189;Pimenta Bueno;Rural;Municipal;21.2;--
2021;Norte;RO;1100189;Pimenta Bueno;Total;Privada;0.6;7.4
2021;Norte;RO;1100189;Pimenta Bueno;Urbana;Privada;0.6;7.4
2021;Norte;RO;1100189;Pimenta Bueno;Total;Pública;9.4;23.8
2021;Norte;RO;1100189;Pimenta Bueno;Urbana;Pública;8.2;25.3
2021;Norte;RO;1100189;Pimenta Bueno;Rural;Pública;21.2;14.5
2021;Norte;RO;1100205;Porto Velho;Total;Total;14.5;29.1
2021;Norte;RO;1100205;Porto Velho;Urbana;Total;13.9;28.8
2021;Norte;RO;1100205;Porto Velho;Rural;Total;19.2;39.6
2021;Norte;RO;1100205;Porto Velho;Total;Federal;--;21.5
2021;Norte;RO;1100205;Porto Velho;Urbana;Federal;--;21.5
2021;Norte;RO;1100205;Porto Velho;Total;Estadual;23.3;31.8
2021;Norte;RO;1100205;Porto Velho;Urbana;Estadual;22.6;31.5
2021;Norte;RO;1100205;Porto Velho;Rural;Estadual;37;39.6
2021;Norte;RO;1100205;Porto Velho;Total;Municipal;10;--
2021;Norte;RO;1100205;Porto Velho;Urbana;Municipal;8.4;--
2021;Norte;RO;1100205;Porto Velho;Rural;Municipal;17.1;--
2021;Norte;RO;1100205;Porto Velho;Total;Privada;3;7.4
2021;Norte;RO;1100205;Porto Velho;Urbana;Privada;2.7;7.4
2021;Norte;RO;1100205;Porto Velho;Rural;Privada;5.3;--
2021;Norte;RO;1100205;Porto Velho;Total;Pública;17;31.3
2021;Norte;RO;1100205;Porto Velho;Urbana;Pública;16.4;31
