NU_ANO_CENSO;CO_UF;SG_UF;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;TP_TIPO_REDE;TP_LOCALIZACAO;TP_CAPITAL;QTD_ALUNOS_INSE;MEDIA_INSE;PC_NIVEL_1;PC_NIVEL_2;PC_NIVEL_3;PC_NIVEL_4;PC_NIVEL_5;PC_NIVEL_6;PC_NIVEL_7;PC_NIVEL_8
2021;35;SP;São Paulo;3500501;Águas de Lindóia;1;0;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500501;Águas de Lindóia;1;1;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500501;Águas de Lindóia;1;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500501;Águas de Lindóia;2;0;2;217;5,53;0;1,93;6,82;15,22;26,09;22,98;25,27;1,69
2021;35;SP;São Paulo;3500501;Águas de Lindóia;2;1;2;217;5,53;0;1,93;6,82;15,22;26,09;22,98;25,27;1,69
2021;35;SP;São Paulo;3500501;Águas de Lindóia;2;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500501;Águas de Lindóia;3;0;2;253;5,64;0;0,37;6,35;15,33;20,7;25;29,02;3,22
2021;35;SP;São Paulo;3500501;Águas de Lindóia;3;1;2;253;5,64;0;0,37;6,35;15,33;20,7;25;29,02;3,22
2021;35;SP;São Paulo;3500501;Águas de Lindóia;3;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500501;Águas de Lindóia;5;0;2;470;5,59;0;1,07;6,56;15,28;23,1;24,1;27,35;2,54
2021;35;SP;São Paulo;3500501;Águas de Lindóia;5;1;2;470;5,59;0;1,07;6,56;15,28;23,1;24,1;27,35;2,54
2021;35;SP;São Paulo;3500501;Águas de Lindóia;5;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500501;Águas de Lindóia;6;0;2;470;5,59;0;1,07;6,56;15,28;23,1;24,1;27,35;2,54
2021;35;SP;São Paulo;3500501;Águas de Lindóia;6;1;2;470;5,59;0;1,07;6,56;15,28;23,1;24,1;27,35;2,54
2021;35;SP;São Paulo;3500501;Águas de Lindóia;6;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500550;Águas de Santa Bárbara;1;0;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500550;Águas de Santa Bárbara;1;1;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500550;Águas de Santa Bárbara;1;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500550;Águas de Santa Bárbara;2;0;2;144;5,56;0;3,39;9,62;12,75;20,62;26,03;21,22;6,36
2021;35;SP;São Paulo;3500550;Águas de Santa Bárbara;2;1;2;144;5,56;0;3,39;9,62;12,75;20,62;26,03;21,22;6,36
2021;35;SP;São Paulo;3500550;Águas de Santa Bárbara;2;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500550;Águas de Santa Bárbara;3;0;2;81;5,36;0;4,04;12,65;9,2;33,69;18,27;20,85;1,29
2021;35;SP;São Paulo;3500550;Águas de Santa Bárbara;3;1;2;81;5,36;0;4,04;12,65;9,2;33,69;18,27;20,85;1,29
2021;35;SP;São Paulo;3500550;Águas de Santa Bárbara;3;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500550;Águas de Santa Bárbara;5;0;2;225;5,49;0;3,62;10,67;11,53;25,13;23,35;21,09;4,61
2021;35;SP;São Paulo;3500550;Águas de Santa Bárbara;5;1;2;225;5,49;0;3,62;10,67;11,53;25,13;23,35;21,09;4,61
2021;35;SP;São Paulo;3500550;Águas de Santa Bárbara;5;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500550;Águas de Santa Bárbara;6;0;2;225;5,49;0;3,62;10,67;11,53;25,13;23,35;21,09;4,61
2021;35;SP;São Paulo;3500550;Águas de Santa Bárbara;6;1;2;225;5,49;0;3,62;10,67;11,53;25,13;23,35;21,09;4,61
2021;35;SP;São Paulo;3500550;Águas de Santa Bárbara;6;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500600;Águas de São Pedro;1;0;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500600;Águas de São Pedro;1;1;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500600;Águas de São Pedro;1;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500600;Águas de São Pedro;2;0;2;33;5,68;0;0;12,12;9,09;21,21;12,12;42,42;3,03
2021;35;SP;São Paulo;3500600;Águas de São Pedro;2;1;2;33;5,68;0;0;12,12;9,09;21,21;12,12;42,42;3,03
2021;35;SP;São Paulo;3500600;Águas de São Pedro;2;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500600;Águas de São Pedro;3;0;2;110;5,88;0;1,88;2,7;5,39;16,2;29;38,41;6,43
2021;35;SP;São Paulo;3500600;Águas de São Pedro;3;1;2;110;5,88;0;1,88;2,7;5,39;16,2;29;38,41;6,43
2021;35;SP;São Paulo;3500600;Águas de São Pedro;3;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500600;Águas de São Pedro;5;0;2;143;5,83;0;1,4;5,07;6,32;17,46;24,76;39,42;5,57
2021;35;SP;São Paulo;3500600;Águas de São Pedro;5;1;2;143;5,83;0;1,4;5,07;6,32;17,46;24,76;39,42;5,57
2021;35;SP;São Paulo;3500600;Águas de São Pedro;5;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500600;Águas de São Pedro;6;0;2;143;5,83;0;1,4;5,07;6,32;17,46;24,76;39,42;5,57
2021;35;SP;São Paulo;3500600;Águas de São Pedro;6;1;2;143;5,83;0;1,4;5,07;6,32;17,46;24,76;39,42;5,57
2021;35;SP;São Paulo;3500600;Águas de São Pedro;6;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500709;Agudos;1;0;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500709;Agudos;1;1;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500709;Agudos;1;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500709;Agudos;2;0;2;610;5,34;0,34;3,11;9,55;20;25,47;23,03;16,64;1,87
2021;35;SP;São Paulo;3500709;Agudos;2;1;2;610;5,34;0,34;3,11;9,55;20;25,47;23,03;16,64;1,87
2021;35;SP;São Paulo;3500709;Agudos;2;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500709;Agudos;3;0;2;416;5,26;0,23;7,01;9,51;20,27;24,56;19,42;16,37;2,64
