NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_CAT_0;FUN_AI_CAT_0;FUN_AF_CAT_0;FUN_01_CAT_0;FUN_02_CAT_0;FUN_03_CAT_0;FUN_04_CAT_0;FUN_05_CAT_0;FUN_06_CAT_0;FUN_07_CAT_0;FUN_08_CAT_0;FUN_09_CAT_0;MED_CAT_0;MED_01_CAT_0;MED_02_CAT_0;MED_03_CAT_0;MED_04_CAT_0
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Total;14,1;9,1;19,6;3,4;5,1;8,7;15,7;12,9;20,4;23,5;18,4;16,0;13,9;19,7;16,8;4,9;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Total;14,1;9,1;19,6;3,4;5,1;8,7;15,7;12,9;20,4;23,5;18,4;16,0;13,9;19,7;16,8;4,9;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Estadual;13,0;8,3;15,5;--;0,0;0,0;12,9;16,7;8,5;22,8;9,8;19,0;14,4;19,7;17,7;5,2;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Estadual;13,0;8,3;15,5;--;0,0;0,0;12,9;16,7;8,5;22,8;9,8;19,0;14,4;19,7;17,7;5,2;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Municipal;15,2;9,8;22,4;3,6;6,0;10,4;17,5;13,1;24,0;25,3;23,2;16,4;--;--;--;--;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Municipal;15,2;9,8;22,4;3,6;6,0;10,4;17,5;13,1;24,0;25,3;23,2;16,4;--;--;--;--;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Privada;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;20,0;0,0;0,0;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Privada;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;20,0;0,0;0,0;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Pública;14,8;9,6;20,7;3,6;5,4;8,9;16,8;13,7;21,0;24,7;19,6;17,1;14,4;19,7;17,7;5,2;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Pública;14,8;9,6;20,7;3,6;5,4;8,9;16,8;13,7;21,0;24,7;19,6;17,1;14,4;19,7;17,7;5,2;--
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Total;3,7;2,4;5,4;0,0;0,0;2,0;4,9;3,4;4,6;4,9;7,6;4,2;7,1;5,5;11,1;5,4;--
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Total;3,7;2,4;5,4;0,0;0,0;2,0;4,9;3,4;4,6;4,9;7,6;4,2;7,1;5,5;11,1;5,4;--
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Estadual;5,4;--;5,4;--;--;--;--;--;4,6;4,9;7,6;4,2;7,1;5,5;11,1;5,4;--
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Estadual;5,4;--;5,4;--;--;--;--;--;4,6;4,9;7,6;4,2;7,1;5,5;11,1;5,4;--
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Municipal;2,4;2,4;--;0,0;0,0;2,0;4,9;3,4;--;--;--;--;--;--;--;--;--
