NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;ED_INF_CAT_1;ED_INF_CAT_2;ED_INF_CAT_3;ED_INF_CAT_4;ED_INF_CAT_5;FUN_CAT_1;FUN_CAT_2;FUN_CAT_3;FUN_CAT_4;FUN_CAT_5;FUN_AI_CAT_1;FUN_AI_CAT_2;FUN_AI_CAT_3;FUN_AI_CAT_4;FUN_AI_CAT_5;FUN_AF_CAT_1;FUN_AF_CAT_2;FUN_AF_CAT_3;FUN_AF_CAT_4;FUN_AF_CAT_5;MED_CAT_1;MED_CAT_2;MED_CAT_3;MED_CAT_4;MED_CAT_5
2021;Sudeste;SP;3500303;Aguaí;Total;Pública;95,2;0,0;3,6;0,0;1,2;91,8;0,4;7,5;0,0;0,3;95,9;0,6;3,0;0,0;0,5;84,0;0,0;16,0;0,0;0,0;76,8;0,0;23,2;0,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Urbana;Pública;96,3;0,0;2,5;0,0;1,2;91,6;0,4;7,7;0,0;0,3;95,8;0,7;3,0;0,0;0,5;84,0;0,0;16,0;0,0;0,0;76,8;0,0;23,2;0,0;0,0
2021;Sudeste;SP;3500303;Aguaí;Rural;Pública;50,0;0,0;50,0;0,0;0,0;97,5;0,0;2,5;0,0;0,0;97,5;0,0;2,5;0,0;0,0;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500402;Águas da Prata;Total;Total;54,8;0,0;41,9;0,0;3,3;68,5;0,0;31,5;0,0;0,0;83,3;0,0;16,7;0,0;0,0;56,4;0,0;43,6;0,0;0,0;86,7;0,0;13,3;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Total;59,1;0,0;36,4;0,0;4,5;79,3;0,0;20,7;0,0;0,0;86,0;0,0;14,0;0,0;0,0;73,1;0,0;26,9;0,0;0,0;86,7;0,0;13,3;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Total;44,4;0,0;55,6;0,0;0,0;37,1;0,0;62,9;0,0;0,0;72,7;0,0;27,3;0,0;0,0;17,5;0,0;82,5;0,0;0,0;--;--;--;--;--
2021;Sudeste;SP;3500402;Águas da Prata;Total;Estadual;--;--;--;--;--;73,1;0,0;26,9;0,0;0,0;--;--;--;--;--;73,1;0,0;26,9;0,0;0,0;86,7;0,0;13,3;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Estadual;--;--;--;--;--;73,1;0,0;26,9;0,0;0,0;--;--;--;--;--;73,1;0,0;26,9;0,0;0,0;86,7;0,0;13,3;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Total;Municipal;54,8;0,0;41,9;0,0;3,3;65,5;0,0;34,5;0,0;0,0;83,3;0,0;16,7;0,0;0,0;17,5;0,0;82,5;0,0;0,0;--;--;--;--;--
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Municipal;59,1;0,0;36,4;0,0;4,5;86,0;0,0;14,0;0,0;0,0;86,0;0,0;14,0;0,0;0,0;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Municipal;44,4;0,0;55,6;0,0;0,0;37,1;0,0;62,9;0,0;0,0;72,7;0,0;27,3;0,0;0,0;17,5;0,0;82,5;0,0;0,0;--;--;--;--;--
2021;Sudeste;SP;3500402;Águas da Prata;Total;Pública;54,8;0,0;41,9;0,0;3,3;68,5;0,0;31,5;0,0;0,0;83,3;0,0;16,7;0,0;0,0;56,4;0,0;43,6;0,0;0,0;86,7;0,0;13,3;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Urbana;Pública;59,1;0,0;36,4;0,0;4,5;79,3;0,0;20,7;0,0;0,0;86,0;0,0;14,0;0,0;0,0;73,1;0,0;26,9;0,0;0,0;86,7;0,0;13,3;0,0;0,0
2021;Sudeste;SP;3500402;Águas da Prata;Rural;Pública;44,4;0,0;55,6;0,0;0,0;37,1;0,0;62,9;0,0;0,0;72,7;0,0;27,3;0,0;0,0;17,5;0,0;82,5;0,0;0,0;--;--;--;--;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Total;91,9;0,0;5,9;0,7;1,5;72,3;1,4;25,9;0,0;0,4;79,6;0,7;18,7;0,0;1,0;64,9;2,0;33,1;0,0;0,0;85,7;0,0;14,3;0,0;0,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Total;91,9;0,0;5,9;0,7;1,5;72,3;1,4;25,9;0,0;0,4;79,6;0,7;18,7;0,0;1,0;64,9;2,0;33,1;0,0;0,0;85,7;0,0;14,3;0,0;0,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Estadual;--;--;--;--;--;86,5;2,7;7,2;0,0;3,6;88,9;0,0;0,0;0,0;11,1;85,3;4,0;10,7;0,0;0,0;87,8;0,0;12,2;0,0;0,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Estadual;--;--;--;--;--;86,5;2,7;7,2;0,0;3,6;88,9;0,0;0,0;0,0;11,1;85,3;4,0;10,7;0,0;0,0;87,8;0,0;12,2;0,0;0,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Municipal;94,7;0,0;3,5;0,9;0,9;76,4;0,9;22,7;0,0;0,0;81,3;0,0;18,7;0,0;0,0;69,9;2,0;28,1;0,0;0,0;--;--;--;--;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Municipal;94,7;0,0;3,5;0,9;0,9;76,4;0,9;22,7;0,0;0,0;81,3;0,0;18,7;0,0;0,0;69,9;2,0;28,1;0,0;0,0;--;--;--;--;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Privada;78,3;0,0;17,4;0,0;4,3;39,7;2,5;57,8;0,0;0,0;57,5;7,5;35,0;0,0;0,0;30,9;0,0;69,1;0,0;0,0;73,0;0,0;27,0;0,0;0,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Privada;78,3;0,0;17,4;0,0;4,3;39,7;2,5;57,8;0,0;0,0;57,5;7,5;35,0;0,0;0,0;30,9;0,0;69,1;0,0;0,0;73,0;0,0;27,0;0,0;0,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Pública;94,7;0,0;3,5;0,9;0,9;78,0;1,2;20,2;0,0;0,6;82,0;0,0;16,9;0,0;1,1;73,5;2,5;24,0;0,0;0,0;87,8;0,0;12,2;0,0;0,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Pública;94,7;0,0;3,5;0,9;0,9;78,0;1,2;20,2;0,0;0,6;82,0;0,0;16,9;0,0;1,1;73,5;2,5;24,0;0,0;0,0;87,8;0,0;12,2;0,0;0,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Total;44,6;0,0;55,4;0,0;0,0;78,0;0,0;22,0;0,0;0,0;76,0;0,0;24,0;0,0;0,0;81,3;0,0;18,7;0,0;0,0;84,2;0,0;15,8;0,0;0,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Total;44,6;0,0;55,4;0,0;0,0;78,0;0,0;22,0;0,0;0,0;76,0;0,0;24,0;0,0;0,0;81,3;0,0;18,7;0,0;0,0;84,2;0,0;15,8;0,0;0,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Estadual;--;--;--;--;--;81,3;0,0;18,7;0,0;0,0;--;--;--;--;--;81,3;0,0;18,7;0,0;0,0;84,2;0,0;15,8;0,0;0,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Estadual;--;--;--;--;--;81,3;0,0;18,7;0,0;0,0;--;--;--;--;--;81,3;0,0;18,7;0,0;0,0;84,2;0,0;15,8;0,0;0,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Municipal;44,6;0,0;55,4;0,0;0,0;76,0;0,0;24,0;0,0;0,0;76,0;0,0;24,0;0,0;0,0;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Municipal;44,6;0,0;55,4;0,0;0,0;76,0;0,0;24,0;0,0;0,0;76,0;0,0;24,0;0,0;0,0;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Pública;44,6;0,0;55,4;0,0;0,0;78,0;0,0;22,0;0,0;0,0;76,0;0,0;24,0;0,0;0,0;81,3;0,0;18,7;0,0;0,0;84,2;0,0;15,8;0,0;0,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Pública;44,6;0,0;55,4;0,0;0,0;78,0;0,0;22,0;0,0;0,0;76,0;0,0;24,0;0,0;0,0;81,3;0,0;18,7;0,0;0,0;84,2;0,0;15,8;0,0;0,0
