NU_ANO_CENSO;NO_REGIAO;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;1_CAT1_CATFUN;1_CAT1_CATMED;1_CAT2_CATFUN;1_CAT2_CATMED;1_CAT3_CATFUN;1_CAT3_CATMED
2021;Sudeste;SP;3505500;Barretos;Urbana;Total;98,4;94,8;0,4;2,7;1,2;1,9
2021;Sudeste;SP;3505500;Barretos;Rural;Total;99,3;87,8;0,0;0,0;0,7;9,8
2021;Sudeste;SP;3505609;Barrinha;Total;Total;99,5;93,3;0,3;4,4;0,2;1,8
2021;Sudeste;SP;3505609;Barrinha;Total;Pública;99,5;93,3;0,3;4,4;0,2;1,8
2021;Sudeste;SP;3505609;Barrinha;Total;Privada;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3505609;Barrinha;Urbana;Total;99,5;93,3;0,3;4,4;0,2;1,8
2021;Sudeste;SP;3505708;Barueri;Total;Total;99,2;97,2;0,2;1,0;0,5;1,2
2021;Sudeste;SP;3505708;Barueri;Total;Pública;99,2;97,1;0,2;1,1;0,5;1,2
2021;Sudeste;SP;3505708;Barueri;Total;Privada;98,6;98,9;0,3;0,1;1,1;1,0
2021;Sudeste;SP;3505708;Barueri;Urbana;Total;99,2;97,2;0,2;1,0;0,5;1,2
2021;Sudeste;SP;3505807;Bastos;Total;Total;98,8;93,0;0,6;0,4;0,6;5,8
