NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;4_CAT_FUN;4_CAT_MED
2021;Sudeste;SP;3502705;Apiaí;Urbana;Estadual;0,9;1,6
2021;Sudeste;SP;3502705;Apiaí;Rural;Estadual;1,7;0,9
2021;Sudeste;SP;3502705;Apiaí;Total;Municipal;0,3;--
2021;Sudeste;SP;3502705;Apiaí;Urbana;Municipal;0,4;--
2021;Sudeste;SP;3502705;Apiaí;Rural;Municipal;0,0;--
2021;Sudeste;SP;3502705;Apiaí;Total;Privada;0,0;0,0
2021;Sudeste;SP;3502705;Apiaí;Urbana;Privada;0,0;0,0
2021;Sudeste;SP;3502705;Apiaí;Total;Pública;0,9;1,4
2021;Sudeste;SP;3502705;Apiaí;Urbana;Pública;0,7;1,6
2021;Sudeste;SP;3502705;Apiaí;Rural;Pública;1,4;0,9
2021;Sudeste;SP;3502754;Araçariguama;Total;Total;1,0;3,7
2021;Sudeste;SP;3502754;Araçariguama;Urbana;Total;1,0;3,7
2021;Sudeste;SP;3502754;Araçariguama;Rural;Total;0,9;--
2021;Sudeste;SP;3502754;Araçariguama;Total;Estadual;--;3,7
2021;Sudeste;SP;3502754;Araçariguama;Urbana;Estadual;--;3,7
2021;Sudeste;SP;3502754;Araçariguama;Total;Municipal;1,1;--
2021;Sudeste;SP;3502754;Araçariguama;Urbana;Municipal;1,2;--
2021;Sudeste;SP;3502754;Araçariguama;Rural;Municipal;0,9;--
2021;Sudeste;SP;3502754;Araçariguama;Total;Privada;0,0;--
2021;Sudeste;SP;3502754;Araçariguama;Urbana;Privada;0,0;--
2021;Sudeste;SP;3502754;Araçariguama;Total;Pública;1,1;3,7
2021;Sudeste;SP;3502754;Araçariguama;Urbana;Pública;1,2;3,7
2021;Sudeste;SP;3502754;Araçariguama;Rural;Pública;0,9;--
2021;Sudeste;SP;3502804;Araçatuba;Total;Total;0,6;1,0
2021;Sudeste;SP;3502804;Araçatuba;Urbana;Total;0,6;0,8
2021;Sudeste;SP;3502804;Araçatuba;Rural;Total;5,6;27,7
2021;Sudeste;SP;3502804;Araçatuba;Total;Estadual;0,8;1,2
2021;Sudeste;SP;3502804;Araçatuba;Urbana;Estadual;0,7;0,9
2021;Sudeste;SP;3502804;Araçatuba;Rural;Estadual;19,5;27,7
2021;Sudeste;SP;3502804;Araçatuba;Total;Municipal;0,7;--
2021;Sudeste;SP;3502804;Araçatuba;Urbana;Municipal;0,7;--
2021;Sudeste;SP;3502804;Araçatuba;Rural;Municipal;0,0;--
2021;Sudeste;SP;3502804;Araçatuba;Total;Privada;0,3;0,5
2021;Sudeste;SP;3502804;Araçatuba;Urbana;Privada;0,3;0,5
2021;Sudeste;SP;3502804;Araçatuba;Total;Pública;0,8;1,2
2021;Sudeste;SP;3502804;Araçatuba;Urbana;Pública;0,7;0,9
2021;Sudeste;SP;3502804;Araçatuba;Rural;Pública;5,6;27,7
2021;Sudeste;SP;3502903;Araçoiaba da Serra;Total;Total;0,5;1,2
2021;Sudeste;SP;3502903;Araçoiaba da Serra;Urbana;Total;0,5;1,2
2021;Sudeste;SP;3502903;Araçoiaba da Serra;Total;Estadual;--;1,3
2021;Sudeste;SP;3502903;Araçoiaba da Serra;Urbana;Estadual;--;1,3
2021;Sudeste;SP;3502903;Araçoiaba da Serra;Total;Municipal;0,5;--
2021;Sudeste;SP;3502903;Araçoiaba da Serra;Urbana;Municipal;0,5;--
2021;Sudeste;SP;3502903;Araçoiaba da Serra;Total;Privada;0,4;0,0
2021;Sudeste;SP;3502903;Araçoiaba da Serra;Urbana;Privada;0,4;0,0
2021;Sudeste;SP;3502903;Araçoiaba da Serra;Total;Pública;0,5;1,3
2021;Sudeste;SP;3502903;Araçoiaba da Serra;Urbana;Pública;0,5;1,3
2021;Sudeste;SP;3503000;Aramina;Total;Total;1,0;3,4
2021;Sudeste;SP;3503000;Aramina;Urbana;Total;1,0;3,4
2021;Sudeste;SP;3503000;Aramina;Total;Estadual;0,9;3,4
2021;Sudeste;SP;3503000;Aramina;Urbana;Estadual;0,9;3,4
2021;Sudeste;SP;3503000;Aramina;Total;Municipal;1,1;--
2021;Sudeste;SP;3503000;Aramina;Urbana;Municipal;1,1;--
2021;Sudeste;SP;3503000;Aramina;Total;Pública;1,0;3,4
2021;Sudeste;SP;3503000;Aramina;Urbana;Pública;1,0;3,4
2021;Sudeste;SP;3503109;Arandu;Total;Total;0,4;0,9
2021;Sudeste;SP;3503109;Arandu;Urbana;Total;0,4;0,9
2021;Sudeste;SP;3503109;Arandu;Total;Estadual;0,3;0,9
2021;Sudeste;SP;3503109;Arandu;Urbana;Estadual;0,3;0,9
2021;Sudeste;SP;3503109;Arandu;Total;Municipal;0,4;--
2021;Sudeste;SP;3503109;Arandu;Urbana;Municipal;0,4;--
2021;Sudeste;SP;3503109;Arandu;Total;Pública;0,4;0,9
2021;Sudeste;SP;3503109;Arandu;Urbana;Pública;0,4;0,9
2021;Sudeste;SP;3503158;Arapeí;Total;Total;2,2;0,0
