NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;EDU_BAS_CAT_1;EDU_BAS_CAT_2;EDU_BAS_CAT_3;EDU_BAS_CAT_4
2021;Sudeste;SP;3500758;Alambari;Urbana;Total;0,0;40,0;60,0;0,0
2021;Sudeste;SP;3500758;Alambari;Rural;Total;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3500758;Alambari;Total;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Urbana;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Total;Municipal;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3500758;Alambari;Urbana;Municipal;0,0;25,0;75,0;0,0
2021;Sudeste;SP;3500758;Alambari;Rural;Municipal;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3500758;Alambari;Total;Pública;0,0;42,9;57,1;0,0
2021;Sudeste;SP;3500758;Alambari;Urbana;Pública;0,0;40,0;60,0;0,0
2021;Sudeste;SP;3500758;Alambari;Rural;Pública;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Total;0,0;66,7;0,0;33,3
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Total;0,0;66,7;0,0;33,3
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Municipal;0,0;50,0;0,0;50,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Municipal;0,0;50,0;0,0;50,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Pública;0,0;66,7;0,0;33,3
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Pública;0,0;66,7;0,0;33,3
2021;Sudeste;SP;3500907;Altair;Total;Total;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3500907;Altair;Urbana;Total;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3500907;Altair;Total;Estadual;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3500907;Altair;Urbana;Estadual;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3500907;Altair;Total;Municipal;0,0;66,7;33,3;0,0
2021;Sudeste;SP;3500907;Altair;Urbana;Municipal;0,0;66,7;33,3;0,0
2021;Sudeste;SP;3500907;Altair;Total;Pública;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3500907;Altair;Urbana;Pública;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Total;Total;14,3;57,1;14,3;14,3
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Total;15,4;53,8;15,4;15,4
2021;Sudeste;SP;3501004;Altinópolis;Rural;Total;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Total;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Total;Municipal;20,0;70,0;10,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Municipal;22,2;66,7;11,1;0,0
2021;Sudeste;SP;3501004;Altinópolis;Rural;Municipal;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Total;Privada;0,0;0,0;33,3;66,7
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Privada;0,0;0,0;33,3;66,7
2021;Sudeste;SP;3501004;Altinópolis;Total;Pública;18,2;72,7;9,1;0,0
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Pública;20,0;70,0;10,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Rural;Pública;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Total;Total;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Total;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Total;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Total;Municipal;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Municipal;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Total;Pública;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Pública;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3501152;Alumínio;Total;Total;0,0;23,1;76,9;0,0
2021;Sudeste;SP;3501152;Alumínio;Urbana;Total;0,0;25,0;75,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Rural;Total;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Total;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Urbana;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Total;Municipal;0,0;20,0;80,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Urbana;Municipal;0,0;22,2;77,8;0,0
2021;Sudeste;SP;3501152;Alumínio;Rural;Municipal;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Total;Privada;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Urbana;Privada;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Total;Pública;0,0;27,3;72,7;0,0
2021;Sudeste;SP;3501152;Alumínio;Urbana;Pública;0,0;30,0;70,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Rural;Pública;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Total;Total;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Total;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Total;Estadual;0,0;100,0;0,0;0,0
