CO_MUNICIPIO;TXT_1_CAT1_CATMED;TXT_1_CAT2_CATMED;EVASAO_MED;TDI_MED_CAT_0;TDI_MED_01_CAT_0;TDI_MED_02_CAT_0;TDI_MED_03_CAT_0;IED_MED_CAT_1;IED_MED_CAT_2;IED_MED_CAT_3;IED_MED_CAT_4;IED_MED_CAT_5;IED_MED_CAT_6;TX_1_CAT_MED;TX_2_CAT_MED;TX_3_CAT_MED;TNR_4_CAT_MED;ATU_MED_CAT_0;IRD_EDU_BAS_CAT_1;IRD_EDU_BAS_CAT_2;IRD_EDU_BAS_CAT_3;IRD_EDU_BAS_CAT_4;ICG_EDU_BAS_CAT_1;ICG_EDU_BAS_CAT_2;ICG_EDU_BAS_CAT_3;ICG_EDU_BAS_CAT_4;ICG_EDU_BAS_CAT_5;ICG_EDU_BAS_CAT_6;AFD_MED_CAT_1;AFD_MED_CAT_2;AFD_MED_CAT_3;AFD_MED_CAT_4;AFD_MED_CAT_5;pib_2021
3508009;97.7;0.6;0.8;10.8;14.6;5.3;14.3;0.0;3.0;33.3;39.4;15.2;9.1;99.8;0.0;0.2;2.2;35.1;10.5;26.3;52.6;10.6;36.8;36.8;15.8;5.3;5.3;0.0;82.5;0.0;17.5;0.0;0.0;684130
3508108;96.1;0.4;2.9;4.1;6.3;4.7;0.7;0.0;0.0;8.1;73.5;10.2;8.2;98.6;0.0;1.4;1.4;29.9;0.0;30.0;50.0;20.0;36.4;36.4;9.1;9.1;9.0;0.0;69.8;0.0;30.2;0.0;0.0;627565
3508207;92.9;0.0;6.1;28.6;37.1;28.6;20.0;0.0;33.4;16.7;33.3;8.3;8.3;100.0;0.0;0.0;0.0;24.5;0.0;50.0;50.0;0.0;40.0;40.0;20.0;0.0;0.0;0.0;70.8;0.0;29.2;0.0;0.0;244488
3508306;91.9;1.3;6.8;14.2;18.1;14.6;10.6;2.2;15.2;8.7;56.5;15.2;2.2;88.6;6.6;4.8;3.0;24.6;20.0;40.0;20.0;20.0;40.0;0.0;40.0;20.0;0.0;0.0;86.0;0.0;13.1;0.9;0.0;102882
3508405;96.0;1.9;2.0;17.3;15.1;21.5;15.2;0.0;7.1;12.7;56.7;14.6;8.9;95.9;1.2;2.9;0.7;31.9;0.0;23.3;63.3;13.4;9.1;42.4;21.2;21.2;3.0;3.1;75.6;0.3;24.1;0.0;0.0;5961333
3508504;93.3;2.8;3.5;11.9;15.6;11.4;7.0;0.7;9.4;24.2;50.1;11.8;3.8;97.0;0.8;2.2;0.9;28.8;1.7;28.8;49.2;20.3;19.7;36.1;16.4;24.6;3.2;0.0;76.0;0.9;23.1;0.0;0.0;5214553
3508603;92.6;3.0;3.2;16.9;18.7;19.7;12.1;2.2;4.4;25.7;41.5;15.3;10.9;94.1;3.3;2.6;0.9;24.7;2.9;20.6;58.8;17.7;25.7;37.1;11.4;8.6;17.2;0.0;72.4;2.1;25.5;0.0;0.0;673632
3508702;98.4;0.0;1.6;11.9;13.4;14.0;7.2;0.0;3.4;22.0;52.5;15.3;6.8;97.7;0.2;2.1;2.6;24.8;18.2;18.2;45.5;18.1;27.3;36.4;0.0;27.3;9.0;0.0;63.2;0.0;36.8;0.0;0.0;574395
3508801;88.7;5.6;1.8;10.9;16.0;12.1;2.9;4.0;2.6;19.7;40.8;23.7;9.2;96.7;2.4;0.9;0.3;23.9;14.3;35.7;50.0;0.0;28.6;21.4;7.1;35.7;0.0;7.2;75.7;0.0;24.3;0.0;0.0;682544
3508900;97.1;0.0;1.9;4.3;0.0;5.4;6.5;0.0;0.0;0.0;68.7;18.8;12.5;97.9;0.0;2.1;0.0;23.5;0.0;40.0;40.0;20.0;40.0;20.0;20.0;0.0;20.0;0.0;78.7;0.0;21.3;0.0;0.0;69806
3509007;97.3;0.9;1.6;6.1;6.6;7.0;4.5;0.3;12.3;27.2;39.5;14.3;6.4;98.1;0.0;1.9;0.7;30.7;20.6;52.9;23.5;3.0;13.7;57.5;5.5;20.5;2.8;0.0;74.1;1.5;24.2;0.0;0.2;4858858
3509106;96.7;0.0;2.5;6.1;5.0;5.6;7.9;3.0;8.8;38.2;35.3;5.9;8.8;99.1;0.0;0.9;0.9;16.3;0.0;40.0;60.0;0.0;0.0;16.7;16.7;66.6;0.0;0.0;65.6;0.0;34.4;0.0;0.0;96255
3509205;94.4;1.5;3.3;8.4;11.5;7.2;5.3;0.0;5.7;38.7;29.2;17.0;9.4;98.0;0.2;1.8;1.8;32.9;4.0;38.0;46.0;12.0;21.7;30.0;28.3;11.7;6.7;1.6;68.3;1.9;29.3;0.0;0.5;22713160
3509254;95.1;0.6;3.7;6.3;5.7;10.3;4.0;0.8;1.8;16.7;68.4;7.0;5.3;95.6;0.0;4.4;5.6;32.1;7.1;35.7;46.4;10.8;21.4;53.6;10.7;10.7;0.0;3.6;72.1;0.0;27.9;0.0;0.0;1755226
3509304;93.1;1.5;2.3;5.7;8.8;6.9;1.2;0.0;0.0;7.2;57.1;7.1;28.6;100.0;0.0;0.0;2.4;30.5;0.0;37.5;62.5;0.0;33.3;22.2;22.2;22.3;0.0;0.0;86.5;0.0;13.5;0.0;0.0;170916
3509403;95.3;2.4;2.0;10.6;11.7;11.2;8.7;0.0;1.2;27.1;57.6;8.2;5.9;97.4;0.7;1.9;0.2;28.7;4.8;19.0;47.6;28.6;30.4;39.1;0.0;17.4;13.1;0.0;73.5;0.0;26.5;0.0;0.0;761749
