UF_CODE;CO_MUNICIPIO;TXT_MED_TX_PROMOCAO_TOTAL;TXT_MED_TX_REPETENCIA_TOTAL;TXT_MED_TX_EVASAO_TOTAL;ICG_PERC_COMPLX_ESCOLA_NIVEL_1;ICG_PERC_COMPLX_ESCOLA_NIVEL_2;ICG_PERC_COMPLX_ESCOLA_NIVEL_3;ICG_PERC_COMPLX_ESCOLA_NIVEL_4;ICG_PERC_COMPLX_ESCOLA_NIVEL_5;ICG_PERC_COMPLX_ESCOLA_NIVEL_6;ATU_MED_MEDIA_TOTAL_ALUNOS_SALA;HAD_MED_MEDIA_TOTAL_HORAS_AULA;TDI_MED_TX_DIST_IDADE_SERIE_TOTAL;TNR_MED_TX_N_RESP_TOTAL;AFD_MED_ADEQ_DOC_GRUPO1;AFD_MED_ADEQ_DOC_GRUPO2;AFD_MED_ADEQ_DOC_GRUPO3;AFD_MED_ADEQ_DOC_GRUPO4;AFD_MED_ADEQ_DOC_GRUPO5;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_1;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_2;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_3;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_4;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_5;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_6;IRD_PERC_REG_DOC_BAIXA;IRD_PERC_REG_DOC_MEDIA_BAIXA;IRD_PERC_REG_DOC_MEDIA_ALTA;IRD_PERC_REG_DOC_ALTA;TXR_MED_TX_APROVACAO_TOTAL;TXR_MED_TX_REPROVACAO_TOTAL;TXR_MED_TX_ABANDONO_TOTAL;DSU_MED_PERC_DOC_SUPERIOR_TOTAL;ANO;PIB_2021;PERCENTUAL_FAMILIAS_PBF_2021
31;3130606;79.1;16.4;4.5;33.3;33.3;0.0;16.7;16.7;0.0;28.4;9.0;23.6;3.7;46.2;3.9;21.6;28.3;0.0;3.0;43.9;35.7;9.2;8.2;0.0;16.7;33.3;50.0;0.0;85.8;12.7;1.5;100.0;2021;132576;0.04291
31;3130655;96.4;0.3;3.3;58.3;8.3;8.3;0.0;16.7;8.4;26.5;4.4;15.1;2.8;86.7;0.0;10.5;2.8;0.0;2.2;13.3;11.1;37.8;26.7;8.9;8.3;58.3;33.4;0.0;99.0;0.3;0.7;100.0;2021;87312;0.14274
31;3130705;76.1;3.7;10.4;16.7;33.3;16.7;16.7;16.6;0.0;15.2;8.6;24.8;3.6;59.0;0.0;26.7;5.7;8.6;4.2;4.2;12.5;45.8;20.8;12.5;0.0;16.7;83.3;0.0;83.5;9.0;7.5;91.7;2021;875663;0.06164
31;3130804;95.2;2.4;2.4;0.0;50.0;50.0;0.0;0.0;0.0;24.0;4.4;22.9;2.1;63.0;10.9;10.9;15.2;0.0;0.0;0.0;12.4;75.0;6.3;6.3;0.0;50.0;50.0;0.0;92.6;1.1;6.3;100.0;2021;115702;0.05242
31;3130903;91.5;0.5;4.4;48.6;17.1;22.9;8.6;2.8;0.0;25.4;4.4;16.6;4.9;82.4;0.6;12.1;4.9;0.0;0.0;6.7;18.9;59.5;12.2;2.7;5.7;51.4;40.0;2.9;96.0;1.0;3.0;100.0;2021;404796;0.11744
31;3131000;70.3;13.4;15.9;40.0;40.0;0.0;0.0;20.0;0.0;31.5;4.5;27.0;2.1;67.6;0.0;8.8;23.6;0.0;0.0;5.8;11.8;47.1;29.4;5.9;0.0;0.0;100.0;0.0;86.4;13.6;0.0;100.0;2021;145789;0.09745
31;3131109;91.1;2.1;6.4;33.3;55.6;0.0;11.1;0.0;0.0;31.0;4.4;29.8;1.2;72.6;0.0;14.7;12.7;0.0;0.0;5.0;30.0;55.0;5.0;5.0;44.4;44.4;11.2;0.0;93.9;0.0;6.1;100.0;2021;90737;0.08297
31;3131158;88.1;0.8;5.9;33.3;16.7;25.0;16.7;0.0;8.3;26.2;4.4;14.0;5.7;72.2;0.0;19.4;8.4;0.0;1.5;1.5;20.0;50.8;20.0;6.2;16.7;50.0;33.3;0.0;92.8;6.7;0.5;100.0;2021;180315;0.0708
31;3131208;98.3;0.2;1.3;42.9;28.6;7.1;14.3;0.0;7.1;35.3;4.3;10.8;1.2;68.8;7.8;8.2;15.2;0.0;0.0;9.7;9.7;67.7;12.9;0.0;0.0;33.3;50.0;16.7;99.8;0.0;0.2;100.0;2021;344577;0.08687
31;3131307;88.9;1.9;6.6;33.1;27.0;23.0;10.1;2.7;4.1;34.6;5.3;16.7;3.0;79.8;2.2;9.9;7.4;0.7;0.6;9.3;28.0;39.4;14.1;8.6;7.4;45.9;38.5;8.2;94.9;3.3;1.8;99.3;2021;17609177;0.04597
