Unnamed: 4;NU_ANO_CENSO;CO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;ED_INF_CAT_1;ED_INF_CAT_2;ED_INF_CAT_3;ED_INF_CAT_4;ED_INF_CAT_5;ED_INF_CAT_0;FUN_CAT_0;MED_CAT_0;EDU_BAS_CAT_5;EDU_BAS_CAT_6;FUN_CAT_1;FUN_CAT_2;FUN_CAT_3;FUN_CAT_4;FUN_CAT_5;FUN_CAT_6;FUN_AI_CAT_1;FUN_AI_CAT_2;FUN_AI_CAT_3;FUN_AI_CAT_4;FUN_AI_CAT_5;FUN_AI_CAT_6;FUN_AF_CAT_1;FUN_AF_CAT_2;FUN_AF_CAT_3;FUN_AF_CAT_4;FUN_AF_CAT_5;FUN_AF_CAT_6;MED_CAT_1;MED_CAT_2;MED_CAT_3;MED_CAT_4;MED_CAT_5;MED_CAT_6;EDU_BAS_CAT_1;EDU_BAS_CAT_2;EDU_BAS_CAT_3;EDU_BAS_CAT_4;NO_REGIAO;SG_UF;NO_MUNICIPIO;ED_BAS_CAT1;ED_BAS_CAT2;ED_BAS_CAT3;ED_BAS_CAT4;ED_BAS_CAT5;ED_BAS_CAT6;ED_BAS_CAT7;ED_BAS_CAT8;ED_BAS_CAT9
;2021;3500303;Urbana;Total;90,9;0,0;8,1;0,0;1,0;15,8;23,5;29,8;0,0;8,0;27,7;5,7;24,7;30,4;9,3;2,2;46,3;4,9;21,1;17,9;6,5;3,3;5,0;5,7;26,2;43,4;16,4;3,3;0,0;2,9;26,7;53,5;14,9;2,0;4,2;16,7;66,7;12,4;;;;;;;;;;;;
;2021;3500303;Rural;Total;50,0;0,0;50,0;0,0;0,0;26,0;13,0;--;0,0;0,0;42,8;0,0;14,3;42,9;0,0;0,0;42,8;0,0;14,3;42,9;0,0;0,0;--;--;--;--;--;--;--;--;--;--;--;--;0,0;0,0;0,0;100,0;;;;;;;;;;;;
;2021;3500303;Total;Estadual;--;--;--;--;--;--;30,0;31,7;0,0;20,0;5,5;6,7;18,9;47,8;20,0;1,1;33,3;33,3;16,7;0,0;16,7;0,0;1,3;2,5;19,0;54,4;21,5;1,3;0,0;2,2;22,2;56,7;16,7;2,2;0,0;40,0;60,0;0,0;;;;;;;;;;;;
;2021;3500303;Urbana;Estadual;--;--;--;--;--;--;30,0;31,7;0,0;20,0;5,5;6,7;18,9;47,8;20,0;1,1;33,3;33,3;16,7;0,0;16,7;0,0;1,3;2,5;19,0;54,4;21,5;1,3;0,0;2,2;22,2;56,7;16,7;2,2;0,0;40,0;60,0;0,0;;;;;;;;;;;;
;2021;3500303;Total;Municipal;95,2;0,0;3,6;0,0;1,2;16,9;21,8;--;0,0;5,9;42,1;2,5;23,5;21,0;6,7;4,2;49,0;1,0;20,6;19,6;5,9;3,9;0,0;8,8;30,4;30,4;17,4;13,0;--;--;--;--;--;--;6,3;12,5;56,3;24,9;Sudeste;SP;Aguaí;190.0;99,5;2.204,95;2.653,41;2.820,90;3.176,17;861,12;26,5;4.253,89
;2021;3500303;Urbana;Municipal;96,3;0,0;2,5;0,0;1,2;16,7;22,2;--;0,0;6,2;40,9;2,6;24,3;20,9;7,0;4,3;48,0;1,0;21,4;19,4;6,1;4,1;0,0;8,8;30,4;30,4;17,4;13,0;--;--;--;--;--;--;6,7;13,3;60,0;20,0;;;;;;;;;;;;
;2021;3500303;Rural;Municipal;50,0;0,0;50,0;0,0;0,0;26,0;13,0;--;0,0;0,0;42,8;0,0;14,3;42,9;0,0;0,0;42,8;0,0;14,3;42,9;0,0;0,0;--;--;--;--;--;--;--;--;--;--;--;--;0,0;0,0;0,0;100,0;;;;;;;;;;;;
;2021;3500303;Total;Privada;66,7;0,0;33,3;0,0;0,0;9,7;16,6;9,3;0,0;0,0;26,2;9,5;35,7;26,2;2,4;0,0;40,0;6,7;33,3;20,0;0,0;0,0;16,1;9,7;38,7;32,3;3,2;0,0;0,0;8,4;58,3;33,3;0,0;0,0;0,0;0,0;100,0;0,0;;;;;;;;;;;;
;2021;3500303;Urbana;Privada;66,7;0,0;33,3;0,0;0,0;9,7;16,6;9,3;0,0;0,0;26,2;9,5;35,7;26,2;2,4;0,0;40,0;6,7;33,3;20,0;0,0;0,0;16,1;9,7;38,7;32,3;3,2;0,0;0,0;8,4;58,3;33,3;0,0;0,0;0,0;0,0;100,0;0,0;;;;;;;;;;;;
;2021;3500303;Total;Pública;95,2;0,0;3,6;0,0;1,2;16,9;24,0;31,7;0,0;9,2;27,9;4,5;21,7;33,3;10,1;2,5;47,8;4,4;19,5;17,7;7,1;3,5;1,1;4,1;21,6;49,5;19,6;4,1;0,0;2,2;22,2;56,7;16,7;2,2;4,8;19,0;57,1;19,1;;;;;;;;;;;;
;2021;3500303;Urbana;Pública;96,3;0,0;2,5;0,0;1,2;16,7;24,4;31,7;0,0;9,5;26,8;4,6;22,2;33,5;10,3;2,6;46,8;4,6;20,2;17,4;7,3;3,7;1,1;4,1;21,6;49,5;19,6;4,1;0,0;2,2;22,2;56,7;16,7;2,2;5,0;20,0;60,0;15,0;;;;;;;;;;;;
;2021;3500303;Rural;Pública;50,0;0,0;50,0;0,0;0,0;26,0;13,0;--;0,0;0,0;42,8;0,0;14,3;42,9;0,0;0,0;42,8;0,0;14,3;42,9;0,0;0,0;--;--;--;--;--;--;--;--;--;--;--;--;0,0;0,0;0,0;100,0;;;;;;;;;;;;
;2021;3500402;Total;Total;54,8;0,0;41,9;0,0;3,3;17,2;21,0;28,8;0,0;0,0;26,9;15,4;9,6;38,5;5,8;3,8;44,4;11,1;5,6;22,2;11,1;5,6;16,3;16,2;10,8;43,2;8,1;5,4;0,0;23,1;0,0;76,9;0,0;0,0;12,5;25,0;62,5;0,0;;;;;;;;;;;;
