NU_ANO_CENSO;NO_REGIAO;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_LOCALIZACAO;NO_DEPENDENCIA;FUN_TX_PROMOCAO_TOTAL;MED_TX_PROMOCAO_TOTAL;FUN_TX_REPETENCIA_TOTAL;MED_TX_REPETENCIA_TOTAL;FUN_TX_EVASAO_TOTAL;MED_TX_EVASAO_TOTAL
2013;Sul;PR;4107546;Espigão Alto do Iguaçu;Total;Total;84.7;86.4;12.2;3.9;2.5;9.2
2013;Sul;PR;4107546;Espigão Alto do Iguaçu;Total;Pública;84.7;86.4;12.2;3.9;2.5;9.2
2013;Sul;PR;4107546;Espigão Alto do Iguaçu;Urbana;Total;81.3;86;16.2;4.1;1.5;9.4
2013;Sul;PR;4107546;Espigão Alto do Iguaçu;Rural;Total;88.7;88.6;7.6;2.9;3.7;8.5
2013;Sul;PR;4107553;Farol;Total;Total;92.1;77.6;3.6;10.3;3.4;12.1
2013;Sul;PR;4107553;Farol;Total;Pública;92.1;77.6;3.6;10.3;3.4;12.1
2013;Sul;PR;4107553;Farol;Urbana;Total;92.1;77.6;3.6;10.3;3.4;12.1
2013;Sul;PR;4107603;Faxinal;Total;Total;87.2;78.6;7.8;8.6;3.7;11.2
2013;Sul;PR;4107603;Faxinal;Total;Pública;85.1;76;9;9.4;4.4;12.8
2013;Sul;PR;4107603;Faxinal;Total;Privada;97.9;97.1;2.1;2.9;0;0
2013;Sul;PR;4107603;Faxinal;Urbana;Total;87;78.3;7.9;9;3.7;11
2013;Sul;PR;4107603;Faxinal;Rural;Total;89.9;84.6;6.3;0;3.2;15.4
2013;Sul;PR;4107652;Fazenda Rio Grande;Total;Total;87.7;69.8;8.6;14.8;2.9;14.3
2013;Sul;PR;4107652;Fazenda Rio Grande;Total;Pública;87.3;68.3;8.8;15.4;3;15.3
2013;Sul;PR;4107652;Fazenda Rio Grande;Total;Privada;94.4;91.6;5;7;0.6;1.4
2013;Sul;PR;4107652;Fazenda Rio Grande;Urbana;Total;87.8;69.8;8.5;14.8;2.9;14.3
2013;Sul;PR;4107652;Fazenda Rio Grande;Rural;Total;82.4;--;16.5;--;1.1;--
2013;Sul;PR;4107702;Fênix;Total;Total;89.6;82.3;6.9;7.8;3.5;9.9
2013;Sul;PR;4107702;Fênix;Total;Pública;89.6;82.3;6.9;7.8;3.5;9.9
2013;Sul;PR;4107702;Fênix;Urbana;Total;89.6;82.3;6.9;7.8;3.5;9.9
2013;Sul;PR;4107736;Fernandes Pinheiro;Total;Total;89.3;72.1;6.8;19.2;2.5;7.7
2013;Sul;PR;4107736;Fernandes Pinheiro;Total;Pública;89.3;72.1;6.8;19.2;2.5;7.7
2013;Sul;PR;4107736;Fernandes Pinheiro;Urbana;Total;88.3;72.1;7.8;19.2;2.2;7.7
2013;Sul;PR;4107736;Fernandes Pinheiro;Rural;Total;91.4;--;4.9;--;3.2;--
2013;Sul;PR;4107751;Figueira;Total;Total;89.2;84.7;7.1;4.9;3.5;10.4
2013;Sul;PR;4107751;Figueira;Total;Pública;89.2;84.7;7.1;4.9;3.5;10.4
2013;Sul;PR;4107751;Figueira;Urbana;Total;88.8;84.7;7.4;4.9;3.6;10.4
2013;Sul;PR;4107751;Figueira;Rural;Total;96.9;--;1.5;--;1.6;--
2013;Sul;PR;4107801;Floraí;Total;Total;87.6;83.2;9.6;9.6;2.2;7.2
2013;Sul;PR;4107801;Floraí;Total;Pública;87.6;83.2;9.6;9.6;2.2;7.2
2013;Sul;PR;4107801;Floraí;Urbana;Total;87.6;83.2;9.6;9.6;2.2;7.2
2013;Sul;PR;4107850;Flor da Serra do Sul;Total;Total;94.4;84.9;3.8;3.8;1.6;10.6
2013;Sul;PR;4107850;Flor da Serra do Sul;Total;Pública;94.4;84.9;3.8;3.8;1.6;10.6
2013;Sul;PR;4107850;Flor da Serra do Sul;Urbana;Total;94.3;84.9;3.8;3.8;1.6;10.6
2013;Sul;PR;4107850;Flor da Serra do Sul;Rural;Total;95;--;3.8;--;1.2;--
2013;Sul;PR;4107900;Floresta;Total;Total;88.7;63.7;8.2;17.3;2.4;16.9
2013;Sul;PR;4107900;Floresta;Total;Pública;88.7;63.7;8.2;17.3;2.4;16.9
2013;Sul;PR;4107900;Floresta;Urbana;Total;88.7;63.7;8.2;17.3;2.4;16.9
2013;Sul;PR;4108007;Florestópolis;Total;Total;86.5;85;10.7;9.2;1.9;5.4
2013;Sul;PR;4108007;Florestópolis;Total;Pública;85.6;85;11;9.2;2.3;5.4
2013;Sul;PR;4108007;Florestópolis;Total;Privada;90.8;--;9.2;--;0;--
2013;Sul;PR;4108007;Florestópolis;Urbana;Total;86.5;85;10.7;9.2;1.9;5.4
2013;Sul;PR;4108106;Flórida;Total;Total;89.6;86.2;8.1;5.2;1.4;8.6
2013;Sul;PR;4108106;Flórida;Total;Pública;89.6;86.2;8.1;5.2;1.4;8.6
2013;Sul;PR;4108106;Flórida;Urbana;Total;89.6;86.2;8.1;5.2;1.4;8.6
2013;Sul;PR;4108205;Formosa do Oeste;Total;Total;91.5;83.6;5.2;7.5;3.1;8.6
2013;Sul;PR;4108205;Formosa do Oeste;Total;Pública;91.5;83.6;5.2;7.5;3.1;8.6
2013;Sul;PR;4108205;Formosa do Oeste;Urbana;Total;90.9;83.6;5.6;7.5;3.2;8.6
2013;Sul;PR;4108205;Formosa do Oeste;Rural;Total;96.2;--;1.9;--;1.9;--
2013;Sul;PR;4108304;Foz do Iguaçu;Total;Total;85.1;73.4;10.6;14.2;3.4;11
2013;Sul;PR;4108304;Foz do Iguaçu;Total;Pública;83;69.5;12.1;16.1;3.9;12.8
2013;Sul;PR;4108304;Foz do Iguaçu;Total;Privada;95.7;92.2;3.2;5;1;2.1
2013;Sul;PR;4108304;Foz do Iguaçu;Urbana;Total;85;73.4;10.6;14.2;3.4;11
2013;Sul;PR;4108304;Foz do Iguaçu;Rural;Total;88.8;--;9.1;--;2.1;--
2013;Sul;PR;4108320;Francisco Alves;Total;Total;91;82.9;6;7.5;1.8;8.7
